titles;urls
Ελληνικά;http://www.ems.gr/analytikos-katalogos-ekdoseon/ellinika/ellinika-14-2.html
Ελληνική Επιθεώρηση Εγκληματολογίας;http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:584
Επιθεώρηση αποκέντρωσης τοπικής αυτοδιοίκησης και περιφερειακής ανάπτυξης;http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:191
Επιθεώρηση Τέχνης (1954-1967) (ψηφιοποιημένη);http://askiweb.eu/index.php/el/2015-09-21-08-27-59/2015-09-21-09-40-15/234-2015-09-17-09-57-18/
Επιθεώρησις κοινωνικής και δημόσιας οικονομικής;http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:773
Επιθεώρησις οικονομικών και πολιτικών επιστημών (1946-1967);http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:784
Επιστημονική Επετηρίς, εκδιδόμενη υπό της Σχολής των Φυσικών και Μαθηματικών Επιστημών (Α.Π.Θ.);http://geolib.geo.auth.gr/index.php/saas/issue/archive
Επιστημονικό Δίκτυο Εκπαίδευσης Ενηλίκων;http://cretaadulteduc.gr/blog/
Ευλογία. Περιοδικό ενημερώσεως και πνευματικής οικοδομής;http://www.imth.gr/default.aspx?page=153
Εφημέριος;http://www.ecclesia.gr/greek/press/efimerios/show_content.asp?what=tefxi
Ηθική;http://www.ethics.gr/content.php?category=16
Θεολογία. Τριμηνιαία έκδοση της Ιεράς Συνόδου της Εκκλησίας της Ελλάδος;http://www.ecclesia.gr/greek/press/theologia/index.asp
Θέσεις;http://www.theseis.com/index.php?option=com_content&task=section&id=4&Itemid=29
Κρητικά Χρονικά;http://ir.lib.uth.gr/handle/11615/9200
Λεβιάθαν;http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:29
Νέα Κοινωνιολογία;http://www.newsociology.gr/teyxh.html
Ο Μέντωρ;https://www.archetai.gr/index.php?p=content&section=1&id=23&lang=
Ο Νουμάς;http://xantho.lis.upatras.gr/kosmopolis/index.php/noumas/issue/view/1055
Ο Πολίτης (1976-1995 & 1998-2005) (ψηφιοποιημένο περιοδικό);http://www.askiweb.eu/index.php/el/2-uncategorised/235-2015-09-17-09-57-19
Ολκάς - της Ιεράς Μητρόπολης Λέρου Καλύμνου και Αστυπάλαιας;http://www.im-leka.gr/index.php?categoryid=22
Ουτοπία: διμηνιαία έκδοση θεωρίας και πολιτισμού;http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:65
Πανεπιστήμιο;http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:535
Πειραϊκή Εκκλησία;http://www.imp.gr/periodiko/%CE%B1%CF%81%CF%87%CE%B5%CE%B9%CE%BF-%CF%84%CE%B5%CF%85%CF%87%CF%89%CE%BD-%CF%80%CE%B5%CF%81%CE%B9%CE%BF%CE%B4%CE%B9%CE%BA%CE%BF%CF%85.html
Πολιτική οικονομία: επιθεώρηση οικονομικών και κοινωνικών επιστημών (1997-2004);http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:639
Πρακτικά της εν Αθήναις Αρχαιολογικής Εταιρείας;https://www.archetai.gr/index.php?p=content&section=1&id=20&lang=
Σύγχρονα Θέματα: περιοδικό επιστημονικής έρευνας;http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:842
Σύγχρονα Θέματα: τριμηνιαία έκδοση επιστημονικού προβληματισμού και παιδείας;http://www.synchronathemata.gr/archio-tefchon/
Σχολιαστής;http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:212
Τετράδια: Πολιτικού Διαλόγου Έρευνας και Κριτικής;http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:22
Το Βήμα του Ασκληπιού;http://www.vima-asklipiou.gr/
Το Έργον της εν Αθήναις Αρχαιολογικής Εταιρείας;https://www.archetai.gr/index.php?p=content&section=1&id=22&lang=
Φλέα. Τριμηνιαία πολιτιστική και πολιτική έκδοση του Ιστορικού Ομίλου Νάξου ΑΡΣόΣ;http://arsosnaxos.blogspot.gr/p/blog-page_26.html
Ψυχολογία: το περιοδικό της Ελληνικής Ψυχολογικής Εταιρείας;http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:609
Ψυχολογικά θέματα;http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:214
Greek Migration news;http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:51
Intellectum;http://pandemos.panteion.gr/index.php?lang=el&op=record&type=&q=&page=0&pid=cid:23
Post Augustum;http://www.postaugustum.com/journal/
Λεξικό Λειψίας;http://research.uni-leipzig.de/giannis/Philosophie/Gedicht%204.pdf
Λεξικό Τριανταφυλλίδη;http://www.greek-language.gr/greekLang/modern_greek/tools/lexica/triantafyllides/
Λεξικό της ελληνικής ως ξένης γλώσσας;http://www.diapolis.auth.gr/diapolis_files/drasi9/ypodrasi9.2b_2013/4_%CE%A7%CF%81%CE%AE%CF%83%CE%B9%CE%BC%CE%B5%CF%82%20%CE%A3%CF%85%CE%BD%CE%B4%CE%AD%CF%83%CE%B5%CE%B9%CF%82%20&%20%CE%A5%CF%80%CE%BF%CF%83%CF%84%CE%B7%CF%81%CE%B9%CE%BA%CF%84%CE%B9%CE%BA%CF%8C%20%CF%85%CE%BB%CE%B9%CE%BA%CF%8C/4.7_%CE%9B%CE%B5%CE%BE%CE%B9%CE%BA%CE%AC/%CE%9B%CE%B5%CE%BE%CE%B9%CE%BA%CF%8C%20%CE%95%CE%BB%CE%BB%CE%B7%CE%BD%CE%B9%CE%BA%CE%AE%CF%82%20%CF%89%CF%82%20%CE%BE%CE%AD%CE%BD%CE%B7%CF%82.pdf
Βικιλεξικό:Βιβλιοθήκη/Πηγές ελεύθερης πρόσβασης;https://el.wiktionary.org/wiki/%CE%92%CE%B9%CE%BA%CE%B9%CE%BB%CE%B5%CE%BE%CE%B9%CE%BA%CF%8C:%CE%92%CE%B9%CE%B2%CE%BB%CE%B9%CE%BF%CE%B8%CE%AE%CE%BA%CE%B7/%CE%A0%CE%B7%CE%B3%CE%AD%CF%82_%CE%B5%CE%BB%CE%B5%CF%8D%CE%B8%CE%B5%CF%81%CE%B7%CF%82_%CF%80%CF%81%CF%8C%CF%83%CE%B2%CE%B1%CF%83%CE%B7%CF%82
